,precision,recall,f1-score,support
O,0.7457511896668932,0.9111295681063123,0.8201869158878504,1204.0
R-1-12,0.0,0.0,0.0,0.0
R-1-2,0.7972972972972973,0.8872180451127819,0.8398576512455516,133.0
R-1-3,0.9333333333333333,0.7777777777777778,0.8484848484848485,18.0
R-1-4,0.5,1.0,0.6666666666666666,1.0
R-1-5,1.0,1.0,1.0,6.0
R-1-50,0.8658536585365854,0.6339285714285714,0.7319587628865979,112.0
R-11-12,1.0,0.6923076923076923,0.8181818181818181,52.0
R-11-3,0.0,0.0,0.0,2.0
R-11-50,1.0,0.5714285714285714,0.7272727272727273,14.0
R-12-2,0.0,0.0,0.0,3.0
R-12-3,0.0,0.0,0.0,66.0
R-12-50,0.4,0.5714285714285714,0.47058823529411764,7.0
R-2-11,0.0,0.0,0.0,0.0
R-2-12,0.0,0.0,0.0,0.0
R-2-3,0.9322033898305084,0.9482758620689655,0.94017094017094,58.0
R-2-4,1.0,0.7368421052631579,0.8484848484848484,19.0
R-2-5,0.7931034482758621,0.7419354838709677,0.7666666666666667,31.0
R-2-50,0.9596774193548387,0.7083333333333334,0.815068493150685,168.0
R-2-6,0.5,1.0,0.6666666666666666,1.0
R-3-12,0.5,1.0,0.6666666666666666,2.0
R-3-2,0.0,0.0,0.0,1.0
R-3-4,0.9787234042553191,0.8214285714285714,0.8932038834951456,56.0
R-3-5,1.0,0.6666666666666666,0.8,12.0
R-3-50,0.9324324324324325,0.7040816326530612,0.8023255813953488,98.0
R-3-6,0.7272727272727273,1.0,0.8421052631578948,8.0
R-4-12,1.0,1.0,1.0,1.0
R-4-4,0.0,0.0,0.0,1.0
R-4-5,0.875,0.8909090909090909,0.8828828828828829,55.0
R-4-50,0.8571428571428571,0.6923076923076923,0.7659574468085107,26.0
R-4-6,0.8333333333333334,0.3125,0.45454545454545453,16.0
R-5-11,0.0,0.0,0.0,0.0
R-5-4,0.0,0.0,0.0,17.0
R-5-5,0.0,0.0,0.0,2.0
R-5-50,0.9608938547486033,0.8309178743961353,0.8911917098445596,207.0
R-5-6,0.9722222222222222,0.9130434782608695,0.9417040358744394,115.0
R-50-2,0.0,0.0,0.0,1.0
R-50-3,0.0,0.0,0.0,1.0
R-6-5,0.0,0.0,0.0,4.0
R-6-50,1.0,0.8617021276595744,0.9257142857142857,94.0
accuracy,0.8158499234303216,0.8158499234303216,0.8158499234303216,0.8158499234303216
macro avg,0.5516060141925703,0.521854067910209,0.5206638112861294,2612.0
weighted avg,0.806600342479454,0.8158499234303216,0.8016905502279223,2612.0
